Person Code,Module Code,year,Surname,Forename,Module Name,Event ID,Object ID,Event Slot ID,Date,Has Attended,Attended,NotAttended,Attendance Code,full_name,student_overall_attendance,Standardised Student Overall Attendance
435,871,2023,White,Linda,Database Design,658,286,281,2023-12-01,Y,1,1,P,Linda White,0.8680555555555556,0.7434271975161655
346,1266,2023,Reddy,Hana,History,846,880,311,2023-06-04,Y,1,1,P,Hana Reddy,0.5512820512820513,-0.8107615029025301
346,1266,2023,Reddy,Hana,History,846,880,917,2023-01-20,N,0,0,A,Hana Reddy,0.5512820512820513,-0.8107615029025301
346,1266,2023,Reddy,Hana,History,295,880,715,2023-11-11,N,0,0,A,Hana Reddy,0.5512820512820513,-0.8107615029025301
346,557,2025,Reddy,Hana,Arabic,272,880,575,2025-06-28,Y,1,1,P,Hana Reddy,0.5512820512820513,-0.8107615029025301
346,557,2024,Reddy,Hana,Arabic,880,880,321,2024-02-14,Y,1,1,Y,Hana Reddy,0.5512820512820513,-0.8107615029025301
346,557,2024,Reddy,Hana,Arabic,880,880,458,2024-11-12,Y,1,1,Y,Hana Reddy,0.5512820512820513,-0.8107615029025301
314,871,2024,Esposito,Carmen,Database Design,658,272,1019,2024-12-19,Y,1,1,P,Carmen Esposito,0.7532467532467533,0.1801397354976159
314,871,2023,Esposito,Carmen,Database Design,682,272,182,2023-12-31,Y,1,1,P,Carmen Esposito,0.7532467532467533,0.1801397354976159
314,1622,2025,Esposito,Carmen,Spanish,286,272,287,2025-03-09,Y,1,1,P,Carmen Esposito,0.7532467532467533,0.1801397354976159
474,891,2025,Müller,Michael,Journalism,137,137,525,2025-04-26,N,0,0,A,Michael Müller,0.7297297297297297,0.0647579509589654
474,1749,2024,Müller,Michael,International Business,954,137,223,2024-01-10,N,0,0,A,Michael Müller,0.7297297297297297,0.0647579509589654
474,1867,2023,Müller,Michael,Project Management,515,137,1043,2023-11-29,Y,1,1,P,Michael Müller,0.7297297297297297,0.0647579509589654
474,1867,2025,Müller,Michael,Project Management,515,137,810,2025-05-12,Y,1,1,P,Michael Müller,0.7297297297297297,0.0647579509589654
474,1867,2025,Müller,Michael,Project Management,515,137,496,2025-03-04,N,0,0,A,Michael Müller,0.7297297297297297,0.0647579509589654
474,1867,2024,Müller,Michael,Project Management,788,137,717,2024-05-05,N,0,0,A,Michael Müller,0.7297297297297297,0.0647579509589654
474,1867,2025,Müller,Michael,Project Management,788,137,432,2025-02-16,N,0,0,A,Michael Müller,0.7297297297297297,0.0647579509589654
474,1798,2025,Müller,Michael,Algorithms,860,137,465,2025-01-31,Y,1,1,P,Michael Müller,0.7297297297297297,0.0647579509589654
474,1798,2025,Müller,Michael,Algorithms,860,137,391,2025-07-03,N,0,0,A,Michael Müller,0.7297297297297297,0.0647579509589654
474,1798,2024,Müller,Michael,Algorithms,640,137,775,2024-06-21,Y,1,1,P,Michael Müller,0.7297297297297297,0.0647579509589654
474,1798,2024,Müller,Michael,Algorithms,737,137,712,2024-10-30,Y,1,1,Y,Michael Müller,0.7297297297297297,0.0647579509589654
474,1798,2025,Müller,Michael,Algorithms,737,137,667,2025-08-18,Y,1,1,Y,Michael Müller,0.7297297297297297,0.0647579509589654
474,547,2024,Müller,Michael,System Administration,683,137,61,2024-08-12,N,0,0,A,Michael Müller,0.7297297297297297,0.0647579509589654
474,547,2025,Müller,Michael,System Administration,412,137,1066,2025-01-20,Y,1,1,P,Michael Müller,0.7297297297297297,0.0647579509589654
474,1896,2023,Müller,Michael,Public Speaking,71,137,755,2023-02-06,N,0,0,A,Michael Müller,0.7297297297297297,0.0647579509589654
474,1896,2023,Müller,Michael,Public Speaking,71,137,669,2023-10-25,N,0,0,A,Michael Müller,0.7297297297297297,0.0647579509589654
317,891,2025,Lebedev,Takeshi,Journalism,137,954,525,2025-04-26,Y,1,1,P,Takeshi Lebedev,0.8172043010752689,0.49393522912495796
317,1749,2025,Lebedev,Takeshi,International Business,213,954,456,2025-02-14,Y,1,1,P,Takeshi Lebedev,0.8172043010752689,0.49393522912495796
317,1867,2023,Lebedev,Takeshi,Project Management,67,954,522,2023-12-06,Y,1,1,P,Takeshi Lebedev,0.8172043010752689,0.49393522912495796
317,1867,2024,Lebedev,Takeshi,Project Management,67,954,235,2024-08-26,Y,1,1,P,Takeshi Lebedev,0.8172043010752689,0.49393522912495796
317,1867,2023,Lebedev,Takeshi,Project Management,515,954,1043,2023-11-29,Y,1,1,P,Takeshi Lebedev,0.8172043010752689,0.49393522912495796
317,1867,2025,Lebedev,Takeshi,Project Management,515,954,810,2025-05-12,Y,1,1,P,Takeshi Lebedev,0.8172043010752689,0.49393522912495796
317,1867,2025,Lebedev,Takeshi,Project Management,515,954,496,2025-03-04,N,0,0,A,Takeshi Lebedev,0.8172043010752689,0.49393522912495796
317,1798,2024,Lebedev,Takeshi,Algorithms,860,954,513,2024-01-23,Y,1,1,P,Takeshi Lebedev,0.8172043010752689,0.49393522912495796
317,1798,2025,Lebedev,Takeshi,Algorithms,860,954,391,2025-07-03,N,0,0,A,Takeshi Lebedev,0.8172043010752689,0.49393522912495796
317,1798,2023,Lebedev,Takeshi,Algorithms,860,954,343,2023-12-27,N,0,0,A,Takeshi Lebedev,0.8172043010752689,0.49393522912495796
317,547,2024,Lebedev,Takeshi,System Administration,683,954,58,2024-02-20,Y,1,1,P,Takeshi Lebedev,0.8172043010752689,0.49393522912495796
317,547,2023,Lebedev,Takeshi,System Administration,412,954,567,2023-12-31,Y,1,1,P,Takeshi Lebedev,0.8172043010752689,0.49393522912495796
317,1896,2023,Lebedev,Takeshi,Public Speaking,71,954,669,2023-10-25,Y,1,1,P,Takeshi Lebedev,0.8172043010752689,0.49393522912495796
161,1867,2024,Robert,Tatiana,Project Management,788,515,854,2024-04-23,Y,1,1,P,Tatiana Robert,0.8440860215053764,0.6258252564683275
161,1798,2024,Robert,Tatiana,Algorithms,640,515,775,2024-06-21,Y,1,1,P,Tatiana Robert,0.8440860215053764,0.6258252564683275
161,547,2024,Robert,Tatiana,System Administration,412,515,596,2024-02-18,N,0,0,A,Tatiana Robert,0.8440860215053764,0.6258252564683275
161,547,2023,Robert,Tatiana,System Administration,412,515,673,2023-07-07,Y,1,1,P,Tatiana Robert,0.8440860215053764,0.6258252564683275
161,1896,2025,Robert,Tatiana,Public Speaking,71,515,515,2025-07-21,Y,1,1,P,Tatiana Robert,0.8440860215053764,0.6258252564683275
161,1896,2023,Robert,Tatiana,Public Speaking,71,515,669,2023-10-25,Y,1,1,P,Tatiana Robert,0.8440860215053764,0.6258252564683275
131,1266,2024,Agarwal,Ruvimbo,History,295,788,873,2024-06-21,Y,1,1,P,Ruvimbo Agarwal,0.8205128205128205,0.5101678478749108
375,891,2023,Becker,Tariq,Journalism,137,860,273,2023-03-03,Y,1,1,P,Tariq Becker,0.9731182795698925,1.2588973877165022
375,891,2024,Becker,Tariq,Journalism,137,860,268,2024-12-29,Y,1,1,P,Tariq Becker,0.9731182795698925,1.2588973877165022
375,891,2025,Becker,Tariq,Journalism,231,860,1029,2025-01-28,Y,1,1,P,Tariq Becker,0.9731182795698925,1.2588973877165022
375,1867,2025,Becker,Tariq,Project Management,67,860,747,2025-02-09,Y,1,1,P,Tariq Becker,0.9731182795698925,1.2588973877165022
375,1867,2023,Becker,Tariq,Project Management,67,860,771,2023-07-27,Y,1,1,P,Tariq Becker,0.9731182795698925,1.2588973877165022
375,1867,2023,Becker,Tariq,Project Management,788,860,318,2023-12-28,Y,1,1,P,Tariq Becker,0.9731182795698925,1.2588973877165022
375,1867,2023,Becker,Tariq,Project Management,788,860,984,2023-05-27,Y,1,1,P,Tariq Becker,0.9731182795698925,1.2588973877165022
375,1798,2025,Becker,Tariq,Algorithms,640,860,706,2025-08-02,Y,1,1,P,Tariq Becker,0.9731182795698925,1.2588973877165022
375,1798,2024,Becker,Tariq,Algorithms,737,860,861,2024-12-23,Y,1,1,Y,Tariq Becker,0.9731182795698925,1.2588973877165022
375,547,2025,Becker,Tariq,System Administration,683,860,690,2025-01-13,Y,1,1,P,Tariq Becker,0.9731182795698925,1.2588973877165022
375,547,2023,Becker,Tariq,System Administration,412,860,91,2023-05-26,Y,1,1,P,Tariq Becker,0.9731182795698925,1.2588973877165022
375,1896,2025,Becker,Tariq,Public Speaking,71,860,515,2025-07-21,Y,1,1,P,Tariq Becker,0.9731182795698925,1.2588973877165022
198,891,2025,Johnson,Arjun,Journalism,137,640,525,2025-04-26,Y,1,1,P,Arjun Johnson,0.7301587301587301,0.06686275963214132
198,1867,2023,Johnson,Arjun,Project Management,515,640,1043,2023-11-29,Y,1,1,P,Arjun Johnson,0.7301587301587301,0.06686275963214132
198,1867,2025,Johnson,Arjun,Project Management,515,640,496,2025-03-04,N,0,0,A,Arjun Johnson,0.7301587301587301,0.06686275963214132
198,1867,2024,Johnson,Arjun,Project Management,788,640,717,2024-05-05,N,0,0,A,Arjun Johnson,0.7301587301587301,0.06686275963214132
198,1867,2025,Johnson,Arjun,Project Management,788,640,432,2025-02-16,Y,1,1,L,Arjun Johnson,0.7301587301587301,0.06686275963214132
198,1798,2024,Johnson,Arjun,Algorithms,856,640,595,2024-04-26,Y,1,1,P,Arjun Johnson,0.7301587301587301,0.06686275963214132
198,1798,2023,Johnson,Arjun,Algorithms,856,640,829,2023-06-23,N,0,0,A,Arjun Johnson,0.7301587301587301,0.06686275963214132
198,1798,2025,Johnson,Arjun,Algorithms,856,640,532,2025-08-29,Y,1,1,P,Arjun Johnson,0.7301587301587301,0.06686275963214132
198,1798,2025,Johnson,Arjun,Algorithms,860,640,391,2025-07-03,Y,1,1,P,Arjun Johnson,0.7301587301587301,0.06686275963214132
198,1798,2024,Johnson,Arjun,Algorithms,737,640,712,2024-10-30,Y,1,1,Y,Arjun Johnson,0.7301587301587301,0.06686275963214132
198,1798,2025,Johnson,Arjun,Algorithms,737,640,667,2025-08-18,Y,1,1,Y,Arjun Johnson,0.7301587301587301,0.06686275963214132
198,1798,2023,Johnson,Arjun,Algorithms,737,640,1003,2023-06-19,Y,1,1,Y,Arjun Johnson,0.7301587301587301,0.06686275963214132
198,547,2024,Johnson,Arjun,System Administration,683,640,67,2024-10-31,N,0,0,A,Arjun Johnson,0.7301587301587301,0.06686275963214132
198,547,2024,Johnson,Arjun,System Administration,683,640,61,2024-08-12,Y,1,1,L,Arjun Johnson,0.7301587301587301,0.06686275963214132
198,547,2025,Johnson,Arjun,System Administration,412,640,1066,2025-01-20,N,0,0,A,Arjun Johnson,0.7301587301587301,0.06686275963214132
198,547,2024,Johnson,Arjun,System Administration,412,640,750,2024-07-19,N,0,0,A,Arjun Johnson,0.7301587301587301,0.06686275963214132
198,1896,2023,Johnson,Arjun,Public Speaking,71,640,755,2023-02-06,Y,1,1,P,Arjun Johnson,0.7301587301587301,0.06686275963214132
327,891,2023,Ben-Khalil,Kenneth,Journalism,137,737,273,2023-03-03,Y,1,1,P,Kenneth Ben-Khalil,0.8494623655913979,0.6522032619370014
327,1749,2024,Ben-Khalil,Kenneth,International Business,197,737,1093,2024-07-25,Y,1,1,P,Kenneth Ben-Khalil,0.8494623655913979,0.6522032619370014
327,1867,2023,Ben-Khalil,Kenneth,Project Management,67,737,768,2023-07-16,Y,1,1,P,Kenneth Ben-Khalil,0.8494623655913979,0.6522032619370014
327,1867,2023,Ben-Khalil,Kenneth,Project Management,67,737,771,2023-07-27,Y,1,1,P,Kenneth Ben-Khalil,0.8494623655913979,0.6522032619370014
327,1867,2024,Ben-Khalil,Kenneth,Project Management,67,737,235,2024-08-26,N,0,0,A,Kenneth Ben-Khalil,0.8494623655913979,0.6522032619370014
327,1867,2023,Ben-Khalil,Kenneth,Project Management,515,737,557,2023-07-01,Y,1,1,P,Kenneth Ben-Khalil,0.8494623655913979,0.6522032619370014
327,1867,2024,Ben-Khalil,Kenneth,Project Management,515,737,504,2024-12-15,N,0,0,A,Kenneth Ben-Khalil,0.8494623655913979,0.6522032619370014
327,1867,2023,Ben-Khalil,Kenneth,Project Management,788,737,183,2023-08-30,Y,1,1,P,Kenneth Ben-Khalil,0.8494623655913979,0.6522032619370014
327,1798,2025,Ben-Khalil,Kenneth,Algorithms,856,737,532,2025-08-29,Y,1,1,P,Kenneth Ben-Khalil,0.8494623655913979,0.6522032619370014
327,1798,2024,Ben-Khalil,Kenneth,Algorithms,737,737,861,2024-12-23,Y,1,1,Y,Kenneth Ben-Khalil,0.8494623655913979,0.6522032619370014
327,547,2023,Ben-Khalil,Kenneth,System Administration,412,737,91,2023-05-26,Y,1,1,P,Kenneth Ben-Khalil,0.8494623655913979,0.6522032619370014
327,547,2024,Ben-Khalil,Kenneth,System Administration,412,737,7,2024-08-21,Y,1,1,P,Kenneth Ben-Khalil,0.8494623655913979,0.6522032619370014
465,1266,2024,Okafor,Efua,History,846,683,653,2024-10-09,Y,1,1,P,Efua Okafor,0.7483870967741936,0.15629675912593138
465,557,2025,Okafor,Efua,Arabic,639,683,272,2025-03-17,Y,1,1,P,Efua Okafor,0.7483870967741936,0.15629675912593138
465,557,2025,Okafor,Efua,Arabic,639,683,158,2025-02-19,Y,1,1,P,Efua Okafor,0.7483870967741936,0.15629675912593138
465,557,2024,Okafor,Efua,Arabic,880,683,321,2024-02-14,Y,1,1,Y,Efua Okafor,0.7483870967741936,0.15629675912593138
465,557,2024,Okafor,Efua,Arabic,924,683,997,2024-05-08,Y,1,1,Y,Efua Okafor,0.7483870967741936,0.15629675912593138
330,1266,2023,Gupta,Michelle,History,295,412,715,2023-11-11,Y,1,1,P,Michelle Gupta,0.7161290322580646,-0.001971273686112129
330,557,2025,Gupta,Michelle,Arabic,376,412,617,2025-06-02,N,0,0,A,Michelle Gupta,0.7161290322580646,-0.001971273686112129
330,557,2024,Gupta,Michelle,Arabic,880,412,458,2024-11-12,Y,1,1,Y,Michelle Gupta,0.7161290322580646,-0.001971273686112129
176,1749,2025,Clark,Kwaku,International Business,197,71,716,2025-01-01,Y,1,1,P,Kwaku Clark,0.8829787234042553,0.8166448704970325
176,1867,2024,Clark,Kwaku,Project Management,67,71,235,2024-08-26,Y,1,1,P,Kwaku Clark,0.8829787234042553,0.8166448704970325
176,1867,2023,Clark,Kwaku,Project Management,515,71,37,2023-03-01,Y,1,1,P,Kwaku Clark,0.8829787234042553,0.8166448704970325
176,547,2024,Clark,Kwaku,System Administration,683,71,980,2024-11-16,N,0,0,A,Kwaku Clark,0.8829787234042553,0.8166448704970325
176,547,2024,Clark,Kwaku,System Administration,412,71,925,2024-12-07,Y,1,1,P,Kwaku Clark,0.8829787234042553,0.8166448704970325
459,1867,2024,Al-Mahmoud,Lisa,Project Management,788,213,854,2024-04-23,Y,1,1,P,Lisa Al-Mahmoud,0.8624338624338624,0.7158454338614211
459,1867,2025,Al-Mahmoud,Lisa,Project Management,788,213,432,2025-02-16,Y,1,1,P,Lisa Al-Mahmoud,0.8624338624338624,0.7158454338614211
459,1798,2024,Al-Mahmoud,Lisa,Algorithms,856,213,414,2024-11-10,Y,1,1,P,Lisa Al-Mahmoud,0.8624338624338624,0.7158454338614211
459,1798,2024,Al-Mahmoud,Lisa,Algorithms,640,213,775,2024-06-21,Y,1,1,P,Lisa Al-Mahmoud,0.8624338624338624,0.7158454338614211
459,1798,2025,Al-Mahmoud,Lisa,Algorithms,737,213,811,2025-07-06,Y,1,1,Y,Lisa Al-Mahmoud,0.8624338624338624,0.7158454338614211
459,1798,2023,Al-Mahmoud,Lisa,Algorithms,737,213,1003,2023-06-19,Y,1,1,Y,Lisa Al-Mahmoud,0.8624338624338624,0.7158454338614211
459,547,2025,Al-Mahmoud,Lisa,System Administration,412,213,1066,2025-01-20,Y,1,1,P,Lisa Al-Mahmoud,0.8624338624338624,0.7158454338614211
459,547,2023,Al-Mahmoud,Lisa,System Administration,412,213,673,2023-07-07,Y,1,1,P,Lisa Al-Mahmoud,0.8624338624338624,0.7158454338614211
459,1896,2023,Al-Mahmoud,Lisa,Public Speaking,71,213,1120,2023-08-08,Y,1,1,P,Lisa Al-Mahmoud,0.8624338624338624,0.7158454338614211
459,840,2024,Al-Mahmoud,Lisa,Cloud Computing,192,213,743,2024-11-24,Y,1,1,P,Lisa Al-Mahmoud,0.8624338624338624,0.7158454338614211
459,1896,2024,Al-Mahmoud,Lisa,Public Speaking,192,213,743,2024-11-24,Y,1,1,P,Lisa Al-Mahmoud,0.8624338624338624,0.7158454338614211
89,1266,2024,Nkomo,Matthew,History,295,67,873,2024-06-21,N,0,0,A,Matthew Nkomo,0.535483870967742,-0.8882722574335566
89,557,2025,Nkomo,Matthew,Arabic,639,67,272,2025-03-17,N,0,0,A,Matthew Nkomo,0.535483870967742,-0.8882722574335566
89,557,2025,Nkomo,Matthew,Arabic,639,67,158,2025-02-19,Y,1,1,P,Matthew Nkomo,0.535483870967742,-0.8882722574335566
89,557,2024,Nkomo,Matthew,Arabic,924,67,997,2024-05-08,Y,1,1,Y,Matthew Nkomo,0.535483870967742,-0.8882722574335566
265,891,2024,Esposito,Yaw,Journalism,137,231,268,2024-12-29,N,0,0,A,Yaw Esposito,0.582010582010582,-0.6599978355046516
265,1867,2024,Esposito,Yaw,Project Management,67,231,954,2024-08-11,Y,1,1,P,Yaw Esposito,0.582010582010582,-0.6599978355046516
265,1867,2024,Esposito,Yaw,Project Management,788,231,854,2024-04-23,N,0,0,A,Yaw Esposito,0.582010582010582,-0.6599978355046516
265,1867,2023,Esposito,Yaw,Project Management,788,231,984,2023-05-27,N,0,0,A,Yaw Esposito,0.582010582010582,-0.6599978355046516
265,547,2025,Esposito,Yaw,System Administration,683,231,690,2025-01-13,Y,1,1,P,Yaw Esposito,0.582010582010582,-0.6599978355046516
265,547,2024,Esposito,Yaw,System Administration,412,231,596,2024-02-18,Y,1,1,P,Yaw Esposito,0.582010582010582,-0.6599978355046516
265,547,2023,Esposito,Yaw,System Administration,412,231,895,2023-06-07,Y,1,1,P,Yaw Esposito,0.582010582010582,-0.6599978355046516
265,547,2023,Esposito,Yaw,System Administration,412,231,673,2023-07-07,Y,1,1,P,Yaw Esposito,0.582010582010582,-0.6599978355046516
265,1896,2025,Esposito,Yaw,Public Speaking,71,231,515,2025-07-21,Y,1,1,P,Yaw Esposito,0.582010582010582,-0.6599978355046516
377,557,2023,Lopez,Raj,Arabic,376,856,1010,2023-09-19,~,0,1,Z,Raj Lopez,0.3935483870967742,-1.5846516018065488
377,557,2025,Lopez,Raj,Arabic,639,856,158,2025-02-19,N,0,0,A,Raj Lopez,0.3935483870967742,-1.5846516018065488
377,557,2024,Lopez,Raj,Arabic,924,856,997,2024-05-08,Y,1,1,Y,Raj Lopez,0.3935483870967742,-1.5846516018065488
65,871,2025,Thomas,Dina,Database Design,658,197,708,2025-06-02,Y,1,1,P,Dina Thomas,0.7207792207792207,0.020843988186792423
65,871,2024,Thomas,Dina,Database Design,682,197,169,2024-12-07,Y,1,1,P,Dina Thomas,0.7207792207792207,0.020843988186792423
171,1266,2024,Al-Zahra,Donna,History,846,639,653,2024-10-09,N,0,0,A,Donna Al-Zahra,0.7123287671232876,-0.02061654878451772
171,1266,2025,Al-Zahra,Donna,History,846,639,457,2025-07-03,N,0,0,A,Donna Al-Zahra,0.7123287671232876,-0.02061654878451772
171,1266,2023,Al-Zahra,Donna,History,295,639,200,2023-07-20,N,0,0,A,Donna Al-Zahra,0.7123287671232876,-0.02061654878451772
171,557,2023,Al-Zahra,Donna,Arabic,376,639,417,2023-03-29,N,0,0,A,Donna Al-Zahra,0.7123287671232876,-0.02061654878451772
171,557,2025,Al-Zahra,Donna,Arabic,639,639,272,2025-03-17,N,0,0,A,Donna Al-Zahra,0.7123287671232876,-0.02061654878451772
171,557,2023,Al-Zahra,Donna,Arabic,880,639,1115,2023-04-20,Y,1,1,Y,Donna Al-Zahra,0.7123287671232876,-0.02061654878451772
171,557,2023,Al-Zahra,Donna,Arabic,924,639,1124,2023-09-18,Y,1,1,Y,Donna Al-Zahra,0.7123287671232876,-0.02061654878451772
171,557,2024,Al-Zahra,Donna,Arabic,924,639,997,2024-05-08,Y,1,1,Y,Donna Al-Zahra,0.7123287671232876,-0.02061654878451772
171,557,2024,Al-Zahra,Donna,Arabic,924,639,846,2024-03-23,Y,1,1,Y,Donna Al-Zahra,0.7123287671232876,-0.02061654878451772
18,1749,2024,Durand,Charles,International Business,213,376,640,2024-01-07,Y,1,1,P,Charles Durand,0.9786096256684492,1.2858396285962705
18,1867,2024,Durand,Charles,Project Management,788,376,854,2024-04-23,Y,1,1,P,Charles Durand,0.9786096256684492,1.2858396285962705
18,1798,2023,Durand,Charles,Algorithms,860,376,600,2023-01-08,Y,1,1,P,Charles Durand,0.9786096256684492,1.2858396285962705
18,1798,2024,Durand,Charles,Algorithms,640,376,775,2024-06-21,Y,1,1,P,Charles Durand,0.9786096256684492,1.2858396285962705
18,1798,2023,Durand,Charles,Algorithms,640,376,280,2023-07-20,Y,1,1,P,Charles Durand,0.9786096256684492,1.2858396285962705
18,547,2024,Durand,Charles,System Administration,412,376,596,2024-02-18,Y,1,1,P,Charles Durand,0.9786096256684492,1.2858396285962705
18,547,2025,Durand,Charles,System Administration,412,376,1066,2025-01-20,Y,1,1,P,Charles Durand,0.9786096256684492,1.2858396285962705
18,547,2023,Durand,Charles,System Administration,412,376,673,2023-07-07,Y,1,1,P,Charles Durand,0.9786096256684492,1.2858396285962705
18,1896,2023,Durand,Charles,Public Speaking,71,376,1120,2023-08-08,Y,1,1,P,Charles Durand,0.9786096256684492,1.2858396285962705
18,1896,2025,Durand,Charles,Public Speaking,71,376,515,2025-07-21,Y,1,1,P,Charles Durand,0.9786096256684492,1.2858396285962705
350,871,2023,Petrov,So-young,Database Design,658,192,592,2023-09-19,Y,1,1,P,So-young Petrov,0.7908496732026143,0.3646312807491049
350,871,2023,Petrov,So-young,Database Design,682,192,68,2023-07-07,Y,1,1,P,So-young Petrov,0.7908496732026143,0.3646312807491049
350,1622,2023,Petrov,So-young,Spanish,286,192,453,2023-04-13,Y,1,1,P,So-young Petrov,0.7908496732026143,0.3646312807491049
476,278,2025,Mthembu,Klaus,Nursing,37,99,671,2025-04-24,Y,1,1,O,Klaus Mthembu,0.8214285714285714,0.5146608048503442
476,492,2023,Mthembu,Klaus,Italian,726,99,974,2023-02-21,Y,1,1,P,Klaus Mthembu,0.8214285714285714,0.5146608048503442
476,492,2024,Mthembu,Klaus,Italian,99,99,901,2024-11-04,N,0,0,A,Klaus Mthembu,0.8214285714285714,0.5146608048503442
20,1920,2025,Zhou,Natalia,English Literature,678,678,439,2025-07-17,Y,1,1,O,Natalia Zhou,0.8771929824561403,0.7882582375122666
20,1437,2025,Zhou,Natalia,Cybersecurity,678,678,439,2025-07-17,Y,1,1,O,Natalia Zhou,0.8771929824561403,0.7882582375122666
20,1317,2024,Zhou,Natalia,Discrete Mathematics,650,678,376,2024-09-25,Y,1,1,O,Natalia Zhou,0.8771929824561403,0.7882582375122666
100,1143,2025,Lopez,Sarah,Linguistics,223,650,692,2025-03-27,Y,1,1,O,Sarah Lopez,1.0,1.3907874150598716
100,1306,2025,Lopez,Sarah,French,223,650,692,2025-03-27,Y,1,1,O,Sarah Lopez,1.0,1.3907874150598716
100,1306,2024,Lopez,Sarah,French,37,650,197,2024-05-19,Y,1,1,O,Sarah Lopez,1.0,1.3907874150598716
100,1143,2024,Lopez,Sarah,Linguistics,37,650,197,2024-05-19,Y,1,1,O,Sarah Lopez,1.0,1.3907874150598716
212,1143,2025,Verma,Francesca,Linguistics,223,223,498,2025-08-12,Y,1,1,O,Francesca Verma,1.0,1.3907874150598716
212,1306,2025,Verma,Francesca,French,223,223,498,2025-08-12,Y,1,1,O,Francesca Verma,1.0,1.3907874150598716
368,1143,2025,Lee,Min-jun,Linguistics,223,205,692,2025-03-27,Y,1,1,O,Min-jun Lee,0.9423076923076923,1.1077311256075628
368,1306,2025,Lee,Min-jun,French,223,205,692,2025-03-27,Y,1,1,O,Min-jun Lee,0.9423076923076923,1.1077311256075628
368,1143,2023,Lee,Min-jun,Linguistics,223,205,564,2023-10-24,Y,1,1,O,Min-jun Lee,0.9423076923076923,1.1077311256075628
368,1306,2023,Lee,Min-jun,French,223,205,564,2023-10-24,Y,1,1,O,Min-jun Lee,0.9423076923076923,1.1077311256075628
193,278,2023,Sanchez,Wang,Nursing,223,748,842,2023-05-25,Y,1,1,O,Wang Sanchez,0.7761194029850746,0.2923600231553898
193,278,2023,Sanchez,Wang,Nursing,223,748,564,2023-10-24,Y,1,1,O,Wang Sanchez,0.7761194029850746,0.2923600231553898
